iter	Passed	Remaining
678	1087	514
679	1089	512
680	1089	510
681	1091	508
682	1092	507
683	1095	506
684	1096	504
685	1099	503
686	1101	501
687	1102	499
688	1103	498
689	1105	496
690	1106	494
691	1107	493
692	1109	491
693	1110	489
694	1112	488
695	1115	487
696	1116	485
697	1117	483
698	1119	482
699	1120	480
700	1121	478
701	1123	476
702	1124	475
703	1126	473
704	1127	471
705	1128	469
706	1130	468
707	1131	466
708	1133	465
709	1134	463
710	1135	461
711	1137	459
712	1138	458
713	1140	456
714	1142	455
715	1145	454
716	1146	452
717	1147	450
718	1148	449
719	1150	447
720	1151	445
721	1152	443
722	1153	442
723	1155	440
724	1156	438
725	1158	437
726	1160	435
727	1161	434
728	1163	432
729	1164	430
730	1165	428
731	1166	427
732	1167	425
733	1169	423
734	1170	421
735	1171	420
736	1172	418
737	1173	416
738	1175	415
739	1176	413
740	1178	411
741	1179	410
742	1180	408
743	1181	406
744	1182	404
745	1184	403
746	1185	401
747	1186	399
748	1187	398
749	1188	396
750	1191	394
751	1192	393
752	1193	391
753	1194	389
754	1196	388
755	1197	386
756	1198	384
757	1199	383
758	1200	381
759	1201	379
760	1203	377
761	1204	376
762	1206	374
763	1208	373
764	1209	371
765	1210	369
766	1211	368
767	1213	366
768	1214	364
769	1215	363
770	1216	361
771	1217	359
772	1218	357
773	1221	356
774	1222	354
775	1223	353
776	1225	351
777	1226	349
778	1227	348
779	1228	346
780	1229	344
781	1230	343
782	1232	341
783	1233	339
784	1234	338
785	1237	336
786	1239	335
787	1240	333
788	1242	332
789	1243	330
790	1244	328
791	1245	327
792	1246	325
793	1247	323
794	1249	322
795	1250	320
796	1253	319
797	1254	317
798	1256	315
799	1257	314
800	1258	312
801	1259	311
802	1260	309
803	1261	307
804	1262	305
805	1263	304
806	1265	302
807	1267	301
808	1269	299
809	1270	297
810	1271	296
811	1272	294
812	1273	293
813	1275	291
814	1276	289
815	1277	288
816	1278	286
817	1279	284
818	1281	283
819	1283	281
820	1285	280
821	1286	278
822	1287	276
823	1288	275
824	1289	273
825	1291	271
826	1292	270
827	1293	268
828	1294	267
